invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
INV-00009700041,2016-08-29,5236,"Giggle Juice Liquor Station, LLC",600 W Main St,Anamosa,52205,POINT (-91.29083400000002 42.108203),53,JONES,1070000,Cocktails / RTD,308,Mango Bottling,71529,Tooters Ala Bama Slama,12,375,5.75,8.63,1,8.63,0.37,0.09,2016
S30016900042,2016-01-04,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,POINT (-91.658105 42.010971),57,Linn,1101100,AMERICAN ALCOHOL,229,Dehner Distillery,42149,Dehner Distillery 151,12,750,7.49,11.24,9,101.16,6.75,1.78,2016
INV-00030300042,2016-08-30,4845,3rd St Convenience,"216, 3rd St SE",Cedar Rapids,52401,POINT (-91.666081 41.977896),57,LINN,1031000,American Vodka,297,Laird & Company,35914,Five O'clock Vodka,24,375,1.93,2.9,3,69.6,1.12,0.29,2016
INV-00045100003,2016-08-30,5063,Logan Convenience Store,"735, Logan Ave",Waterloo,50703,POINT (-92.337744 42.510453),7,BLACK HAWK,1081000,American Cordials & Liqueurs,421,SAZERAC COMPANY  INC,64870,Fireball Cinnamon,48,100,0.89,1.34,1,64.32,0.1,0.02,2016
INV-00072400005,2016-08-31,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1092000,Imported Distilled Spirits Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,4.92,7.38,5,88.56,5.0,1.32,2016
INV-00064500003,2016-08-31,4841,Cozy Mart,2920 W Locust St,Davenport,52804,POINT (-90.619947 41.538161),82,SCOTT,1031000,American Vodka,300,McCormick Distilling Co.,36904,Mccormick Vodka Pet,24,375,1.8,2.7,1,64.8,0.37,0.09,2016
S30427700084,2016-01-27,3869,Bootleggin' Barzini's Fin,412  1ST AVE,CORALVILLE,52241,POINT (-91.565517 41.672672),52,Johnson,1012210,SINGLE MALT SCOTCH,420,"Moet Hennessy USA, Inc.",464,Glenmorangie Pioneer Pack,6,850,22.99,34.49,6,206.94,5.1,1.35,2016
INV-00072800027,2016-08-31,3928,Smokin' Joe's #12 Tobacco and Liquor Outlet,465 Hwy 965 Unit G,North Liberty,52317,POINT (-91.60759 41.739524),52,JOHNSON,1031000,American Vodka,297,Laird & Company,35913,Five O'clock Vodka,48,200,1.13,1.7,1,81.6,0.2,0.05,2016
S33872800037,2016-08-11,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,Linn,1081400,TRIPLE SEC,434,Luxco-St Louis,86507,Paramount Triple Sec,12,1000,3.84,5.76,300,1728.0,300.0,79.25,2016
INV-00025500043,2016-08-30,4617,Lickety Liquor,2501 HUBBELL AVE,Des Moines,50317,POINT (-93.570489 41.607817),77,POLK,1081000,American Cordials & Liqueurs,461,Skyy Spirits Inc,77777,Wild Turkey American Honey,12,375,5.91,8.87,1,106.44,0.37,0.09,2016
INV-00039600054,2016-08-30,4566,Kum & Go #508 / Cedar Rapids,30 Four Oaks Dr SW,Cedar Rapids,52404,POINT (-91.658073 41.923446),57,LINN,1031000,American Vodka,205,E & J Gallo Winery,36965,New Amsterdam Vodka Mini,12,500,4.62,6.93,5,6.93,2.5,0.66,2016
INV-00043400036,2016-08-30,5174,Jim's Food   /  Sullivan Ave,"437, Sullivan Ave",Waterloo,50701,POINT (-92.355915 42.487326),7,BLACK HAWK,1031000,American Vodka,297,Laird & Company,35917,Five O'clock Vodka,12,1000,4.17,6.26,4,6.26,4.0,1.05,2016
INV-00065300101,2016-08-31,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 Devils Glen Road,Bettendorf,52722,POINT (-90.483701 41.552338),82,SCOTT,1031000,American Vodka,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,18.52,27.78,3,166.68,5.25,1.38,2016
INV-00071100010,2016-08-31,5172,Uptown Liquor & Tobacco,2000 Willey Blvd SW,Cedar Rapids,52404,POINT (-91.725777 41.959614),57,LINN,1031000,American Vodka,434,LUXCO INC,36304,Hawkeye Vodka,24,375,1.86,2.79,1,66.96,0.37,0.09,2016
S33867400018,2016-08-11,5012,Bluejay Market,"2810, Willis Ave",Perry,50220,POINT (-94.081127 41.838488),08,Boone,1051140,PEACH BRANDIES,115,"Constellation Wine Company, Inc.",56193,Paul Masson Peach Grande Amber Brandy,24,200,1.96,2.94,2,5.88,0.4,0.11,2016
S33956500048,2016-08-16,3932,Main Street Spirits / Mapleton,311 Main St,Mapleton,51034,POINT (-95.79375 42.165915),67,Monona,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,54647,Arrow Blackberry Flav Brandy,12,1000,6.38,9.57,4,38.28,4.0,1.06,2016
INV-00022500051,2016-08-29,5194,Shelby General Store,"406, East St",Shelby,51570,POINT (-95.45043500000001 41.515255),43,Harrison,1031000,American Vodka,259,Heaven Hill Brands,39920,Deep Eddy Peach Mini,6,600,4.84,7.26,1,7.26,0.6,0.15,2016
S34021700047,2016-08-25,3420,Sam's Club 6344 / Windsor Heights,1101  73RD STREET,Windsor Heights,50311,POINT (-93.718027 41.599172),,,1081700,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.92,7.38,48,354.24,48.0,12.68,2016
INV-00024500014,2016-08-29,3833,Wal-Mart 3394 / Atlantic,1905 East 7th St,Atlantic,50022,POINT (-94.98571 41.403853),15,CASS,1031000,American Vodka,434,LUXCO INC,36308,Hawkeye Vodka,6,1750,7.17,10.76,3,64.56,5.25,1.38,2016
