invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
S11391700014,2013-04-02,4813,USA Food and Gas / Grand Mound,"2293, HWY 30",GRAND MOUND,52751,POINT (-90.646331 41.828025),23,Clinton,1081380,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,73517,Dekuyper Cactus Juice,12,1000,7.62,11.43,4,45.72,4.0,1.06,2013
S09987600019,2013-01-10,4827,Sauce,108 E COLLEGE ST,IOWA CITY,52240,POINT (-91.533522 41.658979),52,Johnson,1701100,DECANTERS & SPECIALTY PACKAGES,420,"Moet Hennessy USA, Inc.",1258,Glenmorangie Taster Pack,6,400,14.83,22.25,2,44.5,0.8,0.21,2013
S14714600075,2013-09-23,4312,I-80 Liquor / Council Bluffs,2411 S 24TH ST #1,COUNCIL BLUFFS,51501,POINT (-95.8792 41.238092),78,Pottawattamie,1081380,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,82627,Dekuyper Cherry Pucker,12,1000,7.62,11.43,4,45.72,4.0,1.06,2013
S14075900037,2013-10-11,3618,Wal-Mart 2716 / Cedar Rapids,3601 29TH AVE SW,CEDAR RAPIDS,52404,POINT (-91.718042 41.949215),57,Linn,1701100,DECANTERS & SPECIALTY PACKAGES,85,Brown-Forman Corporation,952,Jack Daniel's Black w/2 Glasses,6,750,14.04,21.06,18,379.08,13.5,3.57,2013
S12573200007,2013-06-04,9001,Cedar Ridge Vineyards,1441 MARAK RD NW,SWISHER,52338,POINT (-91.67737 41.8321),52,Johnson,1051150,MISCELLANEOUS  BRANDIES,125,"Cedar Ridge Vineyards,LLC",53629,Cedar Ridge Apple Brandy,6,750,18.75,28.13,30,843.9,22.5,5.94,2013
S14259400072,2013-09-03,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.19,84,267.96,84.0,22.19,2013
S14557600029,2013-09-18,3944,Sam's Club 4973 / Dubuque,4400 ASBURY RD,DUBUQUE,52002,POINT (-90.737821 42.515289),31,Dubuque,1081700,DISTILLED SPIRITS SPECIALTY,434,Luxco-St Louis,75087,Juarez Gold Dss,12,1000,4.75,7.13,48,342.24,48.0,12.68,2013
S14122000011,2013-10-04,3980,Wal-Mart 1721 / Iowa City,919 HWY 1 WEST,IOWA CITY,52246,POINT (-91.552125 41.646646),52,Johnson,1701100,DECANTERS & SPECIALTY PACKAGES,192,Sidney Frank Importing Co.,3135,Jagermeister w/2 Shot Glasses,12,750,12.05,18.08,120,2169.6,90.0,23.78,2013
S13907900017,2013-08-14,2585,Hy-Vee Wine and Spirits / Algona,1516 HIGHWAY 169 NORTH,ALGONA,50511,POINT (-94.236003 43.081288),55,Kossuth,1701100,DECANTERS & SPECIALTY PACKAGES,192,Sidney Frank Importing Co.,3136,Jagermeister T-Shirt Pack,12,750,12.05,18.08,36,650.88,27.0,7.13,2013
S15258300013,2013-10-21,2666,Hy-Vee #2 / Ankeny,2510 SW STATE ST,ANKENY,50023,POINT (-93.621824 41.705188),77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,36061,Pinnacle Pumpkin Pie,12,750,7.87,11.81,36,425.16,27.0,7.13,2013
S104362-00100006,2013-02-14,4669,Vom Fass / Des Moines,"833, 42ND ST",DES MOINES,50312,POINT (-93.674384 41.59343100000001),77,Polk,1012300,IRISH WHISKIES,885,"Yahara Bay Distillers, Inc",901073,Irish Peated Single Malt Whiskey,6,50,6.37,9.56,6,57.36,0.3,0.08,2013
S15991100003,2013-12-02,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14TH ST,DES MOINES,50320,POINT (-93.596754 41.554101),77,Polk,1081700,DISTILLED SPIRITS SPECIALTY,346,"Ole Smoky Distillery, LLC",986726,Ole Smoky Tennesse Moonshine- White Lightnin,12,750,13.25,19.88,72,1431.36,54.0,14.27,2013
S12295900027,2013-05-20,2599,Hy-Vee Wine and Spirits / Coralville,1914 8TH STREET,CORALVILLE,52241,POINT (-91.590715 41.682013),52,Johnson,1701100,DECANTERS & SPECIALTY PACKAGES,420,"Moet Hennessy USA, Inc.",1014,Glenmorangie 10YR Discovery Pack w/3 50ml,6,900,22.06,33.09,6,198.54,5.4,1.43,2013
