invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
S28927100030,2015-11-10,4592,Dyno's #29 / Emmetsburg,"2401, MAIN",EMMETSBURG,50536,POINT (-94.681939 43.111913),74,Palo Alto,1701100,DECANTERS & SPECIALTY PACKAGES,370,Pernod Ricard USA/Austin Nichols,490,Jameson Trilogy Pack,10,600,19.98,29.97,3,89.91,1.8,0.48,2015
S29745500001,2015-12-22,4112,Corridor Ventures,618 MEADE DR,NORTH LIBERTY,52317,POINT (-91.608725 41.752451),52,Johnson,1011500,STRAIGHT RYE WHISKIES,259,Heaven Hill Brands,904976,Rittenhouse Rye 100 Proof-HA,12,750,12.98,19.47,10,194.7,7.5,1.98,2015
S29577300002,2015-12-10,2627,Hy-Vee Wine and Spirits #1,3424 MARTIN LUTHER KING JR PKW,DES MOINES,50310,POINT (-93.65129 41.626668),77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES,85,Brown-Forman Corporation,475,Southern Comfort w/Shot Glass & Lanyard,12,750,10.33,15.5,60,930.0,45.0,11.89,2015
S23690200106,2015-01-28,2649,Hy-Vee #3 / Dubuque,400 LOCUST ST,DUBUQUE,52001,POINT (-90.666497 42.49721900000001),31,Dubuque,1051110,BLACKBERRY BRANDIES,434,Luxco-St Louis,54647,Arrow Blackberry Flav Brandy,12,1000,6.38,9.57,4,38.28,4.0,1.06,2015
S29842600006,2015-12-23,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,POINT (-93.664182 41.586319),77,Polk,1701100,DECANTERS & SPECIALTY PACKAGES,420,"Moet Hennessy USA, Inc.",561,Ardbeg 10YR Exploration Pack,6,850,25.98,38.97,6,233.82,5.1,1.35,2015
S27907800028,2015-10-14,5105,Johncy's Liquor Store,"585, HIGHWAY 965",NORTH LIBERTY,52317,POINT (-91.60761 41.738129),52,Johnson,1701100,DECANTERS & SPECIALTY PACKAGES,65,Jim Beam Brands,456,Knob Creek w/2-50mls,6,850,20.99,31.49,6,188.94,5.1,1.35,2015
S28889100012,2015-11-05,9002,Mississippi River Distillery,303 N CODY RD,LECLAIRE,52753,POINT (-90.34359400000001 41.599733),82,Scott,1081030,COFFEE LIQUEURS,306,Mississippi River Distilling Co.,74776,Iowa Coffee Company Liqueur,12,375,9.09,13.64,180,2455.2,67.5,17.83,2015
S29441900024,2015-12-03,2248,Ingersoll Liquor and Beverage,3500 INGERSOLL AVE,DES MOINES,50312,POINT (-93.664182 41.586319),77,Polk,1012210,SINGLE MALT SCOTCH,420,"Moet Hennessy USA, Inc.",4090,Ardbeg Corryvreckan,6,750,44.97,67.46,18,1214.28,13.5,3.57,2015
S23237900218,2014-12-29,2603,Hy-Vee Wine and Spirits / Bettendorf,2890 DEVILS GLEN ROAD,BETTENDORF,52722,POINT (-90.483701 41.552338),82,Scott,1041200,AMERICAN SLOE GINS,434,Luxco-St Louis,33717,Paramount Sloe Gin,12,1000,5.42,8.13,4,32.52,4.0,1.06,2015
S29745200001,2015-12-22,3698,Ingersoll Wine Merchants,1300  50TH ST,WEST DES MOINES,50266,POINT (-93.771159 41.590871),77,Polk,1011500,STRAIGHT RYE WHISKIES,259,Heaven Hill Brands,904976,Rittenhouse Rye 100 Proof-HA,12,750,12.98,19.47,11,214.17,8.25,2.18,2015
