Year,Month,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,vol_750ml_sale_dollars,vol_1000ml_sale_dollars,vol_1750ml_sale_dollars,other_vol_sale_dollars
2012,1,11103.96999999995,16664.400000000023,10369,124979.47999999978,9073.93,2398.530000000025,64427.95999999985,43743.13000000002,7410.030000000003,9398.360000000008
2012,2,10179.589999999987,15315.260000000064,9789,112973.84999999967,8824.5,2332.5800000000227,58599.34999999999,39230.500000000015,10627.080000000022,4516.92
2012,3,11486.589999999931,17241.749999999978,12505,145827.0200000002,11404.22,3014.2300000000373,65887.23999999986,69267.08999999992,7498.5399999999945,3174.149999999999
2012,4,10628.179999999935,15947.950000000037,9696,115423.1899999996,8776.320000000002,2319.7400000000166,59186.179999999884,44580.66000000003,8261.56,3394.79
2012,5,12059.529999999928,18094.140000000058,10987,120095.11999999966,10046.93,2655.6600000000244,63430.719999999834,42487.660000000076,10739.540000000008,3437.199999999998
2012,6,11659.919999999935,17543.919999999955,11155,130413.12999999945,10253.789999999995,2710.200000000026,66541.91999999963,49386.36000000001,9129.980000000001,5354.870000000002
2012,7,11922.189999999926,17905.879999999976,10907,124204.30999999963,9973.31,2636.070000000024,67583.60999999962,43846.43000000004,9339.210000000001,3435.059999999997
2012,8,14233.159999999853,21362.17000000005,11444,145065.69999999975,10446.169999999998,2761.1900000000305,82158.73999999951,45097.78000000013,13952.740000000022,3856.4399999999987
2012,9,11212.099999999979,16822.35999999991,9585,121310.38999999971,8425.61,2227.1300000000206,72869.24999999942,35383.16000000005,7817.879999999992,5240.100000000005
2012,10,18441.759999999966,27859.030000000424,21580,329339.20000000164,18217.760000000006,4814.590000000032,250036.87999999945,50482.30000000016,21461.420000000013,7358.600000000006
2012,11,13695.989999999856,20500.25000000008,12708,188300.41999999966,10786.0,2850.8700000000363,136241.01999999964,35137.10000000004,8897.119999999994,8025.180000000004
2012,12,16509.42999999984,24804.400000000336,15883,249004.959999999,13197.33,3488.60000000004,189460.0999999998,46680.99000000009,8067.879999999992,4795.99
