invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
INV-30829400007,2020-10-07,3525,Wines and Spirits,106 W 2nd St,Washington,52353,POINT (-91.692214 41.300399),92,WASHINGTON,1700000,Temporary &  Specialty Packages,065,Jim Beam Brands,100855,Maker''s Mark Generations Tri-Pack,3,375,42.0,63.0,1,63.0,0.37,0.09,2020
INV-24967900010,2020-02-03,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1092100,Imported Distilled Spirit Specialty,055,SAZERAC NORTH AMERICA,76227,Montezuma Blue,12,1000,4.66,6.99,84,587.16,84.0,22.19,2020
INV-31321800012,2020-10-23,4753,Casey's General Store #2521 / Adair,110 S 5th St,Adair,50002,POINT (-93.300253 41.013948),1,ADAIR,1041300,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2020
INV-31392400001,2020-10-27,5666,Costco Wholesale #1325 / Davenport,2790 E 53rd St,Davenport,52807,POINT (-90.533235 41.574836),82,SCOTT,1012300,Single Malt Scotch,266,Edrington Group USA LLC,5247,Highland Park 12YR Viking Honour,6,750,27.56,41.34,72,2976.48,54.0,14.26,2020
INV-30920300044,2020-10-12,4829,Central City 2,1501 Michigan Ave,Des Moines,50314,POINT (-93.613739 41.60572),77,POLK,1011600,Straight Rye Whiskies,065,Jim Beam Brands,27066,Old Overholt Rye,12,750,11.54,17.31,24,415.44,18.0,4.75,2020
INV-32180900004,2020-11-24,5244,The Ox & Wren Spirits and Gifts,708 2nd  AVE  SE,Cresco,52136,POINT (-92.106529 43.371131),45,HOWARD,1901200,Special Order Items,055,SAZERAC NORTH AMERICA,984161,SOOH 99 Blackberries Mini,10,50,6.0,9.0,3,27.0,0.15,0.03,2020
INV-32243400001,2020-11-25,2653,Hy-Vee Wine and Spirits / Washington,1004 W Madison St,Washington,52353,POINT (-91.704567 41.296576),92,WASHINGTON,1700000,Temporary &  Specialty Packages,065,Jim Beam Brands,101252,Maker's Mark with Shaker,3,1750,32.5,48.75,3,146.25,5.25,1.38,2020
INV-30755300127,2020-10-05,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401,POINT (-94.853591 42.064155),14,CARROLL,1700000,Temporary &  Specialty Packages,065,Jim Beam Brands,430,Jim Beam 50ml Holiday 4pk,12,50,2.0,3.0,12,36.0,0.6,0.15,2020
INV-26924000005,2020-04-29,3390,Okoboji Avenue Liquor,1610 Okoboji Avenue,Milford,51351,POINT (-95.149955 43.331525),30,DICKINSON,1091100,American Distilled Spirit Specialty,578,S&B Farms Distillery,77050,Field Fire,6,750,12.0,18.0,24,432.0,18.0,4.75,2020
INV-30785600001,2020-10-06,3814,Costco Wholesale #788 / WDM,7205 Mills Civic Pkwy,West Des Moines,50266,POINT (-93.806489 41.561342),25,Dallas,1012300,Single Malt Scotch,125,CEDAR RIDGE VINEYARDS LL,26474,Cedar Ridge Quintessential American Single Malt,6,750,29.84,44.76,84,3759.84,63.0,16.64,2020
INV-31118800005,2020-10-19,5533,Fareway Stores #183 / Fleur,4313 Fleur Dr,Des Moines,50321,POINT (-93.644925 41.545286),77,POLK,1011300,Single Barrel Bourbon Whiskies,184,FOUR ROSES DISTILLERY,18350,Four Roses Single Barrel,6,750,21.17,31.76,36,1143.36,27.0,7.13,2020
INV-31210000038,2020-10-20,5514,Johncy's Liquor Store,585 Hwy 965 Ste D & E,North Liberty,52317,POINT (-91.60761 41.738129),52,JOHNSON,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,29.48,44.22,2,88.44,2.0,0.52,2020
