invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
INV-20950400025,2019-07-31,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77,POLK,1011600,Straight Rye Whiskies,255,Infinium Spirits,26726,Templeton Rye Maple Cask Finish Whiskey,6,750,17.5,26.25,30,787.5,22.5,5.94,2019
INV-17245300009,2019-01-30,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010,POINT (-93.618911 42.022854),85,STORY,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,28.98,43.47,2,85.44,2.0,0.52,2019
INV-17690100007,2019-02-20,2675,Hy-Vee #2 / Coralville,3285 Crosspark Rd,Coralville,52241,POINT (-91.60627100000002 41.721438),52,JOHNSON,1091100,American Distilled Spirit Specialty,525,Cats Eye Distillery,72945,Krupnik,12,750,16.65,24.98,24,599.52,18.0,4.75,2019
INV-20346100068,2019-07-02,3943,Good and Quick Co,519 Lincolnway,Nevada,50201,POINT (-93.464816 42.022781),85,STORY,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,28.98,43.47,2,86.94,2.0,0.52,2019
INV-23312500004,2019-11-19,2663,Hy-Vee Food Store / Urbandale,8701 Douglas,Urbandale,50322,POINT (-93.739105 41.629364),77,POLK,1012300,Single Malt Scotch,420,MOET HENNESSY USA,5104,Glenmorangie Nectar D'or,6,750,34.99,52.49,18,944.82,13.5,3.56,2019
INV-22898300004,2019-10-30,2501,Hy-Vee  #2 / Ames,640 Lincolnway,Ames,50010,POINT (-93.619455 42.022848),85,STORY,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,28.98,43.47,2,86.94,2.0,0.52,2019
INV-23483400001,2019-11-26,2648,Hy-Vee #4 / WDM,555 S 51st St,West Des Moines,50265,POINT (-93.773557 41.561197),77,POLK,1901200,Special Order Items,085,Brown Forman Corp.,902518,Chambord Liqueur Minis,6,600,23.94,35.91,6,215.46,3.6,0.95,2019
INV-23318300043,2019-11-19,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702,POINT (-92.353103 42.456374),7,BLACK HAWK,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold DSS,12,1000,4.85,7.28,768,5591.04,768.0,202.88,2019
INV-17940200031,2019-03-05,4310,Fareway Stores #502 / Cherokee,205 West Bluff St,Cherokee,51012,POINT (-95.551866 42.75508),18,CHEROKEE,1041300,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2019
INV-17036300039,2019-01-18,2629,Hy-Vee Food Store #2 / Council Bluffs,1745 Madison Ave,Council Bluffs,51503,POINT (-95.825137 41.242732),78,POTTAWATTA,1011600,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,6,189.0,6.0,1.58,2019
INV-17354900033,2019-02-05,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588,POINT (-95.200758 42.65318400000001),11,BUENA VIST,1011600,Straight Rye Whiskies,255,Infinium Spirits,27175,Templeton 4YR Rye,6,1000,21.0,31.5,2,63.0,2.0,0.52,2019
INV-17766900005,2019-02-25,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1901200,Special Order Items,065,Jim Beam Brands,936097,Gilbeys Vodka,12,1000,5.25,7.88,84,661.92,84.0,22.19,2019
INV-17739000044,2019-02-25,4945,Osage Liquors,"508, Main St",Osage,50461,POINT (-92.814028 43.284116),66,MITCHELL,1062300,Aged Dark Rum,421,SAZERAC COMPANY  INC,42167,Myers's Rum Original Dark,12,1000,13.0,19.5,2,39.0,2.0,0.52,2019
INV-23556500001,2019-11-29,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010,POINT (-93.618911 42.022854),85,STORY,1011600,Straight Rye Whiskies,306,MISSISSIPPI RIVER DISTIL,27027,Cody Road Rye,6,750,19.17,28.76,30,862.8,22.5,5.94,2019
