invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
INV-02683500088,2017-01-12,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,120,812.4,120.0,31.7,2017
INV-02657700001,2017-01-11,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010,POINT (-93.618911 42.022854),85,STORY,1012300,Single Malt Scotch,420,MOET HENNESSY USA,464,Glenmorangie Pioneer Pack,6,850,23.49,35.24,6,206.94,5.1,1.35,2017
INV-02521900001,2017-01-03,5236,"Giggle Juice Liquor Station, LLC",600 W Main St,Anamosa,52205,POINT (-91.29083400000002 42.108203),53,JONES,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,72,487.44,72.0,19.02,2017
INV-08926900026,2017-11-30,4669,Vom Fass / Des Moines,"833, 42nd St",Des Moines,50312,POINT (-93.674384 41.59343100000001),77,POLK,1901200,Special Order Items,885,YAHARA BAY DISTILLERS INC,900624,Fernandez Brandy De Jerez,6,50,5.23,7.85,6,47.1,0.3,0.08,2017
INV-08818000061,2017-11-22,2614,Hy-Vee #3 Food and Drugstore,1823 E Kimberly Rd,Davenport,52807,POINT (-90.548919 41.55678100000001),82,SCOTT,1081100,Coffee Liqueurs,410,Patron Spirits Company,67595,Patron Xo Cafe,6,750,14.0,21.0,18,378.0,13.5,3.57,2017
INV-06585300064,2017-08-10,2106,Hillstreet News and Tobacco,2217 College,Cedar Falls,50613,POINT (-92.455796 42.517182),7,BLACK HAWK,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,60,442.8,60.0,15.85,2017
INV-05984300001,2017-07-10,2512,Hy-Vee Wine and Spirits / Iowa City,1720 Waterfront Dr,Iowa City,52240,POINT (-91.53046300000001 41.642764),52,JOHNSON,1041200,Flavored Gin,110,3 BADGE CORPORATION,932650,SOOH Uncle Vals Botanical Gin,6,750,17.5,26.25,60,1575.0,45.0,11.89,2017
INV-06468300017,2017-08-03,3814,Costco Wholesale #788,7205 Mills Civic Pkwy,West Des Moines,50266,POINT (-93.806489 41.561342),25,Dallas,1012300,Single Malt Scotch,240,William Grant & Sons Inc,5014,Glenfiddich 15 Yr Solera Reserva,12,750,32.51,48.77,36,1728.0,27.0,7.13,2017
INV-09453000054,2017-12-26,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31,DUBUQUE,1092100,Imported Distilled Spirit Specialty,055,SAZERAC NORTH AMERICA,76227,Montezuma Blue,12,1000,4.66,6.99,120,838.8,120.0,31.7,2017
INV-06638500001,2017-08-14,3494,Sam's Club 6514 / Waterloo,210 East Tower Park Dr,Waterloo,50702,POINT (-92.353103 42.456374),7,BLACK HAWK,1901200,Special Order Items,421,SAZERAC COMPANY  INC,936859,Member's Mark Vodka,6,1750,8.51,12.77,360,4597.2,630.0,166.43,2017
INV-06461200086,2017-08-03,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,60,406.2,60.0,15.85,2017
INV-06105600001,2017-07-17,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1081500,Triple Sec,434,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,72,414.72,72.0,19.02,2017
INV-06659500025,2017-08-15,3385,Sam's Club 8162 / Cedar Rapids,2605 Blairs Ferry Rd NE,Cedar Rapids,52402,POINT (-91.67969 42.031819),57,LINN,1081500,Triple Sec,434,LUXCO INC,86507,Paramount Triple Sec,12,1000,3.84,5.76,48,276.48,48.0,12.68,2017
INV-05988000113,2017-07-10,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,72,487.44,72.0,19.02,2017
