invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
S06094400078,2012-06-20,3385,Sam's Club 8162 / Cedar Rapids,2605 BLAIRS FERRY RD NE,CEDAR RAPIDS,52402,POINT (-91.67969 42.031819),57,Linn,1081400,TRIPLE SEC,55,Sazerac North America,86390,Montezuma Triple Sec,12,1000,2.13,3.19,96,306.24,96.0,25.36,2012
S04450100053,2012-03-07,2595,Hy-Vee Wine and Spirits / Denison,"1620  4TH AVE, SOUTH",DENISON,51442,POINT (-95.348601 42.012395),24,Crawford,1081700,DISTILLED SPIRITS SPECIALTY,421,"Sazerac Co., Inc.",77487,Tortilla Gold Dss,12,1000,4.51,6.76,120,811.2,120.0,31.7,2012
S09003600032,2012-11-16,4277,Cork It!,769 PROSPECT ST SW,LE MARS,51031,POINT (-96.178219 42.776296),75,Plymouth,1081350,SPEARMINT SCHNAPPS,434,Luxco-St Louis,82187,Arrow Spearmint Schnapps,12,1000,4.75,7.13,4,28.52,4.0,1.06,2012
S07028600032,2012-08-09,4669,Vom Fass / Des Moines,"833, 42ND ST",DES MOINES,50312,POINT (-93.674384 41.59343100000001),77,Polk,1051150,MISCELLANEOUS  BRANDIES,885,"Yahara Bay Distillers, Inc",901535,Calvados,6,50,6.99,10.49,6,62.94,0.3,0.08,2012
S08289100001,2012-10-17,3949,Wal-Mart 0751 / Pella,1650 WASHINGTON ST,PELLA,50219,POINT (-92.933676 41.410379),63,Marion,1701100,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,1400,Crown Royal w/2 Glasses,6,750,14.5,21.75,36,783.0,27.0,7.13,2012
S05265700084,2012-04-27,4669,Vom Fass / Des Moines,"833, 42ND ST",DES MOINES,50312,POINT (-93.674384 41.59343100000001),77,Polk,1012300,IRISH WHISKIES,885,"Yahara Bay Distillers, Inc",901085,Irish Single Malt Whiskey,6,50,6.09,9.14,6,54.84,0.3,0.08,2012
S07368100116,2012-10-12,2544,Hy-Vee Food Store / Marshalltown,802 SOUTH CENTER,MARSHALLTOWN,50158,POINT (-92.912817 42.039205),64,Marshall,1701100,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,2870,Bailey's Original Irish Cream w/2 Glasses,6,750,13.0,19.5,18,351.0,13.5,3.57,2012
S05438300019,2012-05-08,3631,Audubon Food Pride,104 MARKET ST PO BOX 206,AUDUBON,50025,POINT (-94.93625 41.723057),05,Audubon,1081400,TRIPLE SEC,434,Luxco-St Louis,86310,La Prima Triple Sec,12,1000,2.66,3.99,4,15.96,4.0,1.06,2012
S09578300136,2012-12-19,2290,Al's Liquors Unlimited,215 WEST MILWAUKEE,STORM LAKE,50588,POINT (-95.202405 42.647492),11,Buena Vista,1081380,MISCELLANEOUS SCHNAPPS,65,Jim Beam Brands,73517,Dekuyper Cactus Juice,12,1000,7.35,11.02,4,44.08,4.0,1.06,2012
S07388600013,2012-10-04,3731,Wal-Mart 1241 / Davenport,5811 ELMORE AVE,DAVENPORT,52807,POINT (-90.525525 41.580212),82,Scott,1701100,DECANTERS & SPECIALTY PACKAGES,260,Diageo Americas,2870,Bailey's Original Irish Cream w/2 Glasses,6,750,13.0,19.5,30,585.0,22.5,5.94,2012
S09373700098,2012-12-10,2638,Hy-Vee Wine and Spirits / Cedar Fall,5925 UNIVERSITY AVE STE A,CEDAR FALLS,50613,POINT (-92.429331 42.512766),07,Black Hawk,1081365,TROPICAL FRUIT SCHNAPPS,65,Jim Beam Brands,82857,Dekuyper Island Punch Pucker,12,1000,7.35,11.02,5,55.1,5.0,1.32,2012
S08965800072,2012-11-15,2635,Hy-Vee #4 / Davenport,4064 E 53RD ST,DAVENPORT,52807,POINT (-90.513769 41.574973),82,Scott,1011500,STRAIGHT RYE WHISKIES,306,Mississippi River Distilling Co.,27027,Cody Road Rye,6,750,19.33,29.0,18,522.0,13.5,3.57,2012
