invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons,Year
INV-14290300016,2018-09-06,3814,Costco Wholesale #788 / WDM,7205 Mills Civic Pkwy,West Des Moines,50266,POINT (-93.806489 41.561342),25,Dallas,1012300,Single Malt Scotch,240,William Grant & Sons Inc,5014,Glenfiddich 15 Yr Solera Reserva,12,750,32.51,48.77,36,1755.72,27.0,7.13,2018
INV-12324900027,2018-05-29,3465,Hometown Foods / Panora,601 E Main,Panora,50216,POINT (-94.357201 41.69182),39,GUTHRIE,1081500,Triple Sec,434,LUXCO INC,86310,La Prima Triple Sec,12,1000,3.0,4.5,4,18.0,4.0,1.06,2018
INV-13689000056,2018-08-07,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31,DUBUQUE,1092100,Imported Distilled Spirit Specialty,055,SAZERAC NORTH AMERICA,76227,Montezuma Blue,12,1000,4.66,6.99,72,503.28,72.0,19.02,2018
INV-14420300041,2018-09-13,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1081500,Triple Sec,055,SAZERAC NORTH AMERICA,86390,Montezuma Triple Sec,12,1000,2.13,3.2,60,192.0,60.0,15.85,2018
INV-13769600023,2018-08-10,2228,Rodgers Spirits and More,53 Green St,Winterset,50273,POINT (-94.013374 41.336405),61,MADISON,1041300,American Sloe Gins,434,LUXCO INC,33717,Paramount Sloe Gin,12,1000,5.42,8.13,2,16.26,2.0,0.52,2018
INV-12612500014,2018-06-12,2663,Hy-Vee Food Store / Urbandale,8701 Douglas,Urbandale,50322,POINT (-93.739105 41.629364),77,POLK,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5153,Glenlivet Founders Reserve,12,750,19.98,29.97,120,3596.4,90.0,23.78,2018
INV-12087100007,2018-05-16,2285,John's Grocery,401 East Market St,Iowa City,52240,POINT (-91.529854 41.663541),52,JOHNSON,1901200,Special Order Items,239,RUSSIAN STANDARD VODKA,904715,Zubrowka Bison Grass Vodka,6,750,12.97,19.46,18,350.28,13.5,3.57,2018
INV-13742500059,2018-08-09,3420,Sam's Club 6344 / Windsor Heights,1101  73rd St,Windsor Heights,50311,POINT (-93.718027 41.599172),77,Polk,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,72,558.72,72.0,19.02,2018
INV-13817700034,2018-08-14,2448,Bottle Boutique,705 E. SECOND,Indianola,50125,POINT (-93.55261600000001 41.358176),91,WARREN,1011600,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton 4YR Rye,12,375,9.99,14.99,3,44.97,1.12,0.29,2018
INV-14346600006,2018-09-10,2190,"Central City Liquor, Inc.",1460 2ND AVE,Des Moines,50314,POINT (-93.619787 41.60566),77,POLK,1092000,Imported Distilled Spirits Specialty,279,Topa Spirits,951545,Piscologia Pisco,12,750,17.34,26.01,24,624.24,18.0,4.75,2018
INV-13746100039,2018-08-09,2652,Hy-Vee DrugStore / Mason City,875  4th St SW,Mason City,50401,POINT (-93.213856 43.148257),17,CERRO GORD,1062300,Aged Dark Rum,380,Phillips Beverage,43686,Cross Keys Rum,12,750,10.07,15.11,60,906.6,45.0,11.88,2018
INV-12064100023,2018-05-14,5173,Audubon Food Land,104 Market St,Audubon,50025,POINT (-94.93625 41.723057),5,AUDUBON,1081500,Triple Sec,434,LUXCO INC,86310,La Prima Triple Sec,12,1000,3.0,4.5,5,22.5,5.0,1.32,2018
INV-12213000173,2018-05-22,4167,"Iowa Street Market, Inc.",1256 Iowa St,Dubuque,52001,POINT (-90.668138 42.504959),31,DUBUQUE,1062300,Aged Dark Rum,260,DIAGEO AMERICAS,42167,Myers's Rum Original Dark,12,1000,13.0,19.5,4,75.0,4.0,1.06,2018
INV-12491700003,2018-06-06,9001,Cedar Ridge Vineyards,1441 Marak Rd NW,Swisher,52338,POINT (-91.67737 41.8321),52,JOHNSON,1011600,Straight Rye Whiskies,125,CEDAR RIDGE VINEYARDS LL,27014,Cedar Ridge Malted Rye,6,750,19.67,29.51,18,531.18,13.5,3.57,2018
INV-14270000001,2018-09-06,3447,Sam's Club 6432 / Sioux City,4201 S. York St.,Sioux City,51106,POINT (-96.37082 42.43407),97,WOODBURY,1901200,Special Order Items,421,SAZERAC COMPANY  INC,936859,Members Mark Vodka,6,1750,8.51,12.77,360,4597.2,630.0,166.42,2018
INV-12895800024,2018-06-26,2597,Hy-Vee Food Store / Cherokee,1300 N. Second,Cherokee,51012,POINT (-95.552585 42.765259),18,CHEROKEE,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,84,651.84,84.0,22.19,2018
INV-11912700001,2018-05-07,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1901200,Special Order Items,368,Park Street Imports,902213,Scorpion Mezcal Anejo 1 Year,12,750,26.0,39.0,36,1404.0,27.0,7.13,2018
INV-14505600085,2018-09-18,2619,Hy-Vee Wine and Spirits / WDM,1725  74th St,West Des Moines,50266,POINT (-93.808855 41.598515),77,POLK,1011600,Straight Rye Whiskies,260,DIAGEO AMERICAS,27022,Bulleit 95 Rye,6,1750,25.0,37.5,48,1800.0,84.0,22.19,2018
INV-12809600081,2018-06-21,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,60,406.2,60.0,15.85,2018
INV-14403600108,2018-09-12,3820,"Charlie's Wine and Spirits,",507 W 19th St,Sioux City,51103,POINT (-96.420193 42.510535),97,WOODBURY,1092100,Imported Distilled Spirit Specialty,277,STOLI GROUP,66977,Stolichnaya Crushed Pineapple Mini,10,50,5.88,8.82,2,17.64,0.1,0.02,2018
INV-14334600021,2018-09-10,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1012300,Single Malt Scotch,370,PERNOD RICARD USA,5037,Glenlivet 12YR,12,1000,28.48,42.72,2,85.44,2.0,0.52,2018
INV-13626900030,2018-08-03,2593,Hy-Vee Food Store / Carroll,905 US Highway 30 West,Carroll,51401,POINT (-94.853591 42.064155),14,CARROLL,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,144,1117.44,144.0,38.04,2018
INV-12143800077,2018-05-17,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320,POINT (-93.596754 41.554101),77,POLK,1092100,Imported Distilled Spirit Specialty,421,SAZERAC COMPANY  INC,77487,Tortilla Gold Dss,12,1000,4.51,6.77,60,406.2,60.0,15.85,2018
INV-12364600044,2018-05-30,3524,Sam's Club 6568 / Ames,305 Airport Rd,Ames,50010,POINT (-93.613648 42.001123),85,STORY,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,48,372.48,48.0,12.68,2018
INV-12184400003,2018-05-21,2191,Keokuk Spirits,1013 Main,Keokuk,52632,POINT (-91.387797 40.400038),56,LEE,1901200,Special Order Items,421,SAZERAC COMPANY  INC,921589,HA EH Taylor Jr Single Barrel,6,750,33.34,50.01,18,900.18,13.5,3.57,2018
INV-13629900001,2018-08-03,5144,Sam's Club 6979 / Ankeny,4625 SE Delaware Ave,Ankeny,50021,POINT (-93.581273 41.691),77,POLK,1901200,Special Order Items,421,SAZERAC COMPANY  INC,936859,Member's Mark Vodka,6,1750,8.51,12.77,1080,13791.6,1890.0,499.28,2018
INV-14246400001,2018-09-05,3524,Sam's Club 6568 / Ames,305 Airport Rd,Ames,50010,POINT (-93.613648 42.001123),85,STORY,1901200,Special Order Items,421,SAZERAC COMPANY  INC,936859,Members Mark Vodka,6,1750,8.51,12.77,360,4597.2,630.0,166.42,2018
INV-14269000003,2018-09-05,3773,Benz Distributing,501 7th Ave SE,Cedar Rapids,52401,POINT (-91.659875 41.97574),57,LINN,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,60,465.6,60.0,15.85,2018
INV-12272100055,2018-05-24,5102,Wilkie Liquors,724 1st  St  SE,Mount Vernon,52314,POINT (-91.410401 41.918328),57,LINN,1092100,Imported Distilled Spirit Specialty,434,LUXCO INC,75087,Juarez Gold Dss,12,1000,5.17,7.76,540,4190.4,540.0,142.65,2018
INV-13744700061,2018-08-09,4083,Fareway Stores #909 / Ankeny,109 SE Oralabor Rd,Ankeny,50021,POINT (-93.59949600000002 41.702811),77,POLK,1011600,Straight Rye Whiskies,255,Infinium Spirits,26858,Templeton 4YR Rye,12,375,9.99,14.99,3,44.97,1.12,0.29,2018
INV-13849900064,2018-08-15,2565,Hy-Vee Food Store #1636 / Spencer,819 N Grand Ave,Spencer,51301,POINT (-95.14506 43.145897),21,CLAY,1081500,Triple Sec,434,LUXCO INC,86310,La Prima Triple Sec,12,1000,3.0,4.5,2,9.0,2.0,0.52,2018
INV-12637000003,2018-06-13,4129,Cyclone Liquors,626 Lincoln Way,Ames,50010,POINT (-93.618911 42.022854),85,STORY,1901200,Special Order Items,259,Heaven Hill Brands,917914,HA Elijah Craig Cask Barrel Proof,3,750,29.92,44.88,15,673.2,11.25,2.97,2018
